hidden_layers,activation,learning_rate,alpha,batch_size,dev_rmse,n_iter
"(256,)",relu,0.001,0.001,128,16.4301275170079,50
"(256,)",relu,0.001,0.01,32,16.36928378311053,33
"(256,)",relu,0.001,0.01,64,16.427146760110073,33
"(256,)",relu,0.001,0.01,128,16.4288547734231,50
"(256,)",relu,0.001,0.1,32,16.350785351190247,33
"(256,)",relu,0.001,0.1,64,16.599789740041768,50
"(256,)",relu,0.001,0.1,128,16.424977984880595,50
"(256,)",relu,0.005,0.0001,32,16.526748498893436,23
"(256,)",relu,0.005,0.0001,64,16.356473151185213,21
"(256,)",relu,0.005,0.0001,128,16.33632958879184,33
"(256,)",relu,0.005,0.001,32,16.537268649649455,23
"(256,)",relu,0.005,0.001,64,16.345192164853167,21
"(256,)",relu,0.005,0.001,128,16.34088255886615,33
"(256,)",relu,0.005,0.01,32,17.08140581161885,35
"(256,)",relu,0.005,0.01,64,16.36870362447079,21
"(256,)",relu,0.005,0.01,128,16.364924910116056,33
"(256,)",relu,0.005,0.1,32,17.057328967167674,32
"(256,)",relu,0.005,0.1,64,16.34297486380477,21
"(256,)",relu,0.005,0.1,128,16.342312998770506,33
"(256,)",relu,0.01,0.0001,32,16.48371428393452,19
"(256,)",relu,0.01,0.0001,64,16.549116130105205,21
"(256,)",relu,0.01,0.0001,128,16.434022088634745,33
"(256,)",relu,0.01,0.001,32,16.549251083396328,19
"(256,)",relu,0.01,0.001,64,16.549422410264047,21
"(256,)",relu,0.01,0.001,128,16.44287455429925,33
"(256,)",relu,0.01,0.01,32,16.490483566560073,19
"(256,)",relu,0.01,0.01,64,16.587857955749463,21
"(256,)",relu,0.01,0.01,128,16.417365098476076,21
"(256,)",relu,0.01,0.1,32,17.118696480235354,32
"(256,)",relu,0.01,0.1,64,16.511420231206614,21
"(256,)",relu,0.01,0.1,128,16.386361490013073,33
"(256,)",tanh,0.0001,0.0001,32,16.626334189541122,119
"(256,)",tanh,0.0001,0.0001,64,16.624160975681935,119
"(256,)",tanh,0.0001,0.0001,128,16.594235022727702,150
"(256,)",tanh,0.0001,0.001,32,16.626319386056757,119
"(256,)",tanh,0.0001,0.001,64,16.62415567634368,119
"(256,)",tanh,0.0001,0.001,128,16.594232319729155,150
"(256,)",tanh,0.0001,0.01,32,16.626171717696327,119
"(256,)",tanh,0.0001,0.01,64,16.624102794021535,119
"(256,)",tanh,0.0001,0.01,128,16.594205307303085,150
"(256,)",tanh,0.0001,0.1,32,16.624739543867545,119
"(256,)",tanh,0.0001,0.1,64,16.623585148015646,119
"(256,)",tanh,0.0001,0.1,128,16.593936805924344,150
"(256,)",tanh,0.0005,0.0001,32,16.689802210944826,62
"(256,)",tanh,0.0005,0.0001,64,16.699160449641873,62
